tax_id,assembly_accession
46245,GCA_000001765.3
7955,GCA_000002035.4
9796,GCA_000002305.1
5855,GCA_000002415.2
28985,GCA_000002515.1
284591,GCA_000002525.1
3694,GCA_000002775.4
9823,GCA_000003025.6
29760,GCA_000003745.2
3659,GCA_000004075.3
8364,GCA_000004195.4
39946,GCA_000004655.2
4577,GCA_000005005.6
39947,GCA_000005425.2
180454,GCA_000005575.1
5851,GCA_000006355.3
284592,GCA_000006445.2
28377,GCA_000090745.2
559292,GCA_000146045.2
4538,GCA_000147395.3
658763,GCA_000151485.1
9739,GCA_000151865.3
54126,GCA_000180635.4
42345,GCA_000181215.3
6334,GCA_000181795.3
101020,GCA_000184155.1
4081,GCA_000188115.5
3880,GCA_000219495.2
981350,GCA_000223565.1
999809,GCA_000230245.1
3483,GCA_000230575.5
4533,GCA_000231095.3
3654,GCA_000238415.2
1143193,GCA_000292605.2
580240,GCA_000292815.1
9940,GCA_000298735.2
3711,GCA_000309985.3
2711,GCA_000317415.1
9925,GCA_000317765.2
77586,GCA_000325765.3
3827,GCA_000331145.2
9733,GCA_000331955.2
3821,GCA_000340665.3
102107,GCA_000346735.1
37682,GCA_000347335.2
9713,GCA_000349705.1
4096,GCA_000393655.2
1202531,GCA_000400815.2
566037,GCA_000412225.2
51953,GCA_000442705.2
6289,GCA_000469685.2
85433,GCA_000469805.3
9755,GCA_000472045.1
3885,GCA_000499845.2
4072,GCA_000512255.2
4182,GCA_000512975.1
244447,GCA_000523025.1
1182966,GCA_000568005.1
4537,GCA_000573905.2
4536,GCA_000576065.2
40148,GCA_000576495.2
1445506,GCA_000590845.2
5518,GCA_000599445.1
29729,GCA_000612285.2
1437815,GCA_000613145.2
1300067,GCA_000633125.1
1294331,GCA_000662435.2
3708,GCA_000686985.2
109376,GCA_000695525.1
9238,GCA_000699105.1
9233,GCA_000699145.1
9209,GCA_000708925.1
5076,GCA_000710275.1
4097,GCA_000715075.2
8010,GCA_000721915.3
1434269,GCA_000733235.3
4932,GCA_000734875.3
8208,GCA_000735185.1
3916,GCA_000741045.2
34508,GCA_000757645.3
3726,GCA_000801105.3
578113,GCA_000818155.1
165789,GCA_000950795.1
7962,GCA_000951615.2
498257,GCA_000952015.1
1034331,GCA_000968835.1
101028,GCA_000974265.2
6239,GCA_000975215.1
1294305,GCA_000975585.2
1294306,GCA_000975615.2
1296266,GCA_000975645.3
1292971,GCA_000975675.2
1293430,GCA_000975705.2
1294303,GCA_000975735.4
1294304,GCA_000975765.2
1294307,GCA_000975795.2
1294308,GCA_000975825.2
468558,GCA_000975915.3
947044,GCA_000975945.2
1294310,GCA_000975975.3
502869,GCA_000976005.2
1294311,GCA_000976035.2
1294312,GCA_000976065.2
1294313,GCA_000976095.2
1294314,GCA_000976125.2
1294315,GCA_000976155.4
1294317,GCA_000976215.2
1294318,GCA_000976245.2
1294319,GCA_000976275.4
1294320,GCA_000976305.2
1294321,GCA_000976335.2
1294322,GCA_000976365.2
1294323,GCA_000976395.2
1294324,GCA_000976425.2
1294325,GCA_000976455.3
1294326,GCA_000976485.2
1294327,GCA_000976515.2
1294328,GCA_000976545.2
1294329,GCA_000976575.4
1294330,GCA_000976605.3
1294332,GCA_000976665.2
1294333,GCA_000976695.3
1294334,GCA_000976725.3
1294335,GCA_000976755.2
1294336,GCA_000976785.2
1294337,GCA_000976815.3
1294338,GCA_000976845.3
1294339,GCA_000976875.3
1294340,GCA_000976905.2
1294341,GCA_000976935.2
1294342,GCA_000976965.3
1294343,GCA_000976995.2
1294344,GCA_000977025.2
1294345,GCA_000977055.4
1294346,GCA_000977085.2
1294347,GCA_000977115.3
1294348,GCA_000977145.2
1294349,GCA_000977175.3
1294350,GCA_000977205.2
1294351,GCA_000977235.2
1294352,GCA_000977265.3
1294353,GCA_000977295.3
1294354,GCA_000977325.2
1294355,GCA_000977355.3
1294356,GCA_000977385.2
1294357,GCA_000977415.2
1294358,GCA_000977445.2
