tax_id,assembly_accession,db_group,rank2,rank3,rank4,rank5,rank6
110108,GCA_054084005.1,Amphibians,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
110108,GCA_054083975.1,Amphibians,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
111125,GCF_032444005.1,Amphibians,Chordata,Amphibia,Anura,Dendrobatidae,Ranitomeya
111125,GCA_032444005.1,Amphibians,Chordata,Amphibia,Anura,Dendrobatidae,Ranitomeya
1415580,GCA_901765095.1,Amphibians,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia
1415580,GCF_901765095.1,Amphibians,Chordata,Amphibia,Gymnophiona,Siphonopidae,Microcaecilia
150705,GCF_027789765.1,Amphibians,Chordata,Amphibia,Anura,Hylidae,Dendropsophus
160500,GCA_029206835.1,Amphibians,Chordata,Amphibia,Anura,Ranidae,Rana
191477,GCF_036172605.1,Amphibians,Chordata,Amphibia,Anura,Pelobatidae,Pelobates
191477,GCA_036172605.1,Amphibians,Chordata,Amphibia,Anura,Pelobatidae,Pelobates
194198,GCA_053478255.1,Amphibians,Chordata,Amphibia,Anura,Hylidae,Pseudacris
194408,GCA_901001135.1,Amphibians,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
194408,GCF_901001135.1,Amphibians,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
233779,GCF_027358695.1,Amphibians,Chordata,Amphibia,Anura,Pelobatidae,Spea
233781,GCA_036172795.1,Amphibians,Chordata,Amphibia,Anura,Pelodytidae,Pelodytes
238106,GCF_048569485.1,Amphibians,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus
238119,GCF_031893055.1,Amphibians,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus
238119,GCA_031893055.1,Amphibians,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus
247094,GCA_019447015.1,Amphibians,Chordata,Amphibia,Anura,Pipidae,Hymenochirus
256425,GCA_964261635.1,Amphibians,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton
260995,GCA_902459505.1,Amphibians,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes
260995,GCF_902459505.1,Amphibians,Chordata,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes
265040,GCA_054131545.1,Amphibians,Chordata,Amphibia,Anura,Megophryidae,Leptobrachium
2829185,GCA_036250615.1,Amphibians,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena
