Name,Rank,TID,Max,report-IMAS_IODP382.23005_382_U1534C_1H_1_0_5cm,report-IMAS_IODP382.23006_382_U1534C_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23007_382_U1534C_1H_1_145_150cm_A,report-IMAS_IODP382.23011_382_U1534C_1H_2_145_150cm,report-IMAS_IODP382.23012_382_U1534C_1H_3_145_150cm,report-IMAS_IODP382.23014_382_U1534C_1H_4_96_101cm,report-IMAS_IODP382.23017_382_U1534C_2H_2_145_150cm,report-IMAS_IODP382.23018_382_U1534C_2H_4_145_150cm,report-IMAS_IODP382.23019_382_U1534C_2H_6_66_71cm,report-IMAS_IODP382.23020_382_U1534C_3H_2_145_150cm,report-IMAS_IODP382.23021_382_U1534C_3H_4_145_150cm,report-IMAS_IODP382.23022_382_U1534C_4H_2_145_150cm,report-IMAS_IODP382.23023_382_U1534C_4H_4_145_150cm,report-IMAS_IODP382.23024_382_U1534C_4H_6_124_129cm,report-IMAS_IODP382.23026_382_U1534C_5H_2_145_150cm,report-IMAS_IODP382.23027_382_U1534C_5H_4_145_150cm,report-IMAS_IODP382.23028_382_U1534C_10H_6_115_120cm,report-IMAS_IODP382.23071_382_U1536B_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23072_382_U1536B_1H_1_0_5cm,report-IMAS_IODP382.23073_382_U1536B_1H_3_145_150cm,report-IMAS_IODP382.23074_382_U1536B_3H_6_133_138cm,report-IMAS_IODP382.23075_382_U1536B_4H_6_136_141cm,report-IMAS_IODP382.23076_382_U1536B_5H_6_145_150cm,report-IMAS_IODP382.23077_382_U1536B_6H_6_145_150cm,report-IMAS_IODP382.23078_382_U1536B_7H_2_145_150cm,report-IMAS_IODP382.23079_382_U1536B_8H_6_121_126cm,report-IMAS_IODP382.23080_382_U1536B_9H_2_145_150cm,report-IMAS_IODP382.23081_382_U1536B_10H_5_145_150cm,report-IMAS_IODP382.23082_382_U1536B_11H_2_145_150cm,report-IMAS_IODP382.23083_382_U1536B_11H_6_145_150cm,report-IMAS_IODP382.23084_382_U1536B_12H_2_145_150cm,report-IMAS_IODP382.23085_382_U1536B_20H_6_141_146cm,report-IMAS_IODP382.23136_382_U1538C_1H_1_0_0cm_Mudline,report-IMAS_IODP382.23137_382_U1538C_1H_1_0_5cm,report-IMAS_IODP382.23138_382_U1538C_1H_1_145_150cm,report-IMAS_IODP382.23139_382_U1538C_1H_2_145_150cm,report-IMAS_IODP382.23140_382_U1538C_1H_3_145_150cm,report-IMAS_IODP382.23141_382_U1538C_2H_1_145_150cm,report-IMAS_IODP382.23142_382_U1538C_2H_2_145_150cm,report-IMAS_IODP382.23143_382_U1538C_2H_3_145_150cm,report-IMAS_IODP382.23144_382_U1538C_2H_4_145_150cm,report-IMAS_IODP382.23145_382_U1538C_2H_5_145_150cm,report-IMAS_IODP382.23146_382_U1538C_2H_6_95_100cm,report-IMAS_IODP382.23147_382_U1538C_3H_2_145_150cm,report-IMAS_IODP382.23148_382_U1538C_3H_4_145_150cm,report-IMAS_IODP382.23149_382_U1538C_4H_1_145_150cm,report-IMAS_IODP382.23150_382_U1538C_4H_2_145_150cm,report-IMAS_IODP382.23151_382_U1538C_4H_3_145_150cm,report-IMAS_IODP382.23152_382_U1538C_5H_2_145_150cm,report-IMAS_IODP382.23153_382_U1538C_5H_4_145_150cm,report-IMAS_IODP382.23154_382_U1538C_5H_5_109_110cm,report-IMAS_IODP382.23155_382_U1538C_6F_1_144_149cm,report-IMAS_IODP382.23156_382_U1538C_6F_2_146_151cm,report-IMAS_IODP382.23157_382_U1538C_7H_1_145_150cm,report-IMAS_IODP382.23158_382_U1538C_7H_2_145_150cm,report-IMAS_IODP382.23159_382_U1538C_7H_3_145_150cm,report-IMAS_IODP382.23160_382_U1538C_7H_4_145_150cm,report-IMAS_IODP382.23161_382_U1538C_7H_5_145_150cm,report-IMAS_IODP382.23162_382_U1538C_7H_6_115_120cm,report-IMAS_IODP382.23163_382_U1538C_8H_1_145_150cm,report-IMAS_IODP382.23164_382_U1538C_8H_2_145_150cm,report-IMAS_IODP382.23165_382_U1538C_8H_3_145_150cm,report-IMAS_IODP382.23166_382_U1538C_10H_5_145_150cm,report-IMAS_IODP382.23169_382_U1538D_14H_1_145_150cm,report-IMAS_IODP382.23170_382_U1538D_14H_5_110_115cm,report-IMAS_IODP382.23086_382_U1536B_1_12_20H_Ctrl_DF_PFT,report-IMAS_IODP382.23087_382_U1536B_1_12H_CtrlAir,report-IMAS_IODP382.23015_382_U1534C_1H_4_CtrlAir,report-IMAS_IODP382.23016_382_U1534C_1_10H_Ctrl_DF_PFT,report-IMAS_IODP382.23025_382_U1534C_4H_6_CtrlAir,report-IMAS_IODP382.23167_382_U1538C_1_10H_Ctrl_DF_PFT,report-IMAS_IODP382.23168_382_U1538C_1_10H_CtrlAir,report-IMAS_IODP382.23244_382_U1536B_12H_CtrlAir,report-IMAS_IODP382.23029_382_U1534C_10H_6_CtrlAir,report-IMAS_IODP382.24798_EBC,report-IMAS_IODP382.24800_EBC,report-IMAS_IODP382.24801_EBC,report-IMAS_IODP382.24802_EBC,report-IMAS_IODP382.24803_EBC1,report-IMAS_IODP382.24804_EBC2,Lineage
Gammaproteobacteria,C,1236,92374,28137,234,13058,135,16055,35616,18821,19295,8121,36661,7319,32095,22522,1803,3070,66312,30778,6,92374,40333,29043,7036,23159,46119,22301,21737,3910,8757,28168,48290,34732,48140,347,73784,16162,38883,31112,39503,9993,2055,71013,56788,37002,7054,19629,40862,48359,54129,89843,49116,80537,56471,34751,53734,53934,9485,75112,23630,126,25061,87396,45,11208,1086,32098,10,,3,21,4,13,1,5,2,,16,8,67,7,56,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Alphaproteobacteria,C,28211,93845,16180,326,24322,125,14674,35564,23077,18660,9135,20399,3645,25548,15987,1979,3776,93485,44414,9,44117,40353,53533,8778,26029,40205,20815,22274,3525,8092,33916,50063,39799,76326,417,47085,36940,52494,67512,74427,16740,2287,38585,64799,93845,10934,47407,50640,50613,69528,72878,37529,71112,35983,33243,61741,41543,8332,74817,23776,100,22837,71894,49,13246,1225,43309,20,,3,40,10,24,2,10,2,,34,2,51,21,58,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Betaproteobacteria,C,28216,136660,5409,580,8362,199,8908,21006,8872,15948,10971,18475,3941,29800,18148,4678,5597,136655,65780,61,24299,19113,36326,8540,32217,50240,27874,28931,4839,11111,50540,69505,58505,112675,978,17903,17556,24408,33481,22666,7878,1422,19543,29996,32597,4307,20010,38792,41387,77451,96275,42286,80072,31834,40507,78311,51549,10234,100360,31827,324,27475,92896,16,12840,1902,63893,92,3,16,142,79,123,1,41,12,,261,3,140,120,135,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Atribacteria,C,2847774,11915,6,,624,5,508,912,562,1243,197,547,247,680,737,70,332,9536,706,,73,1615,3418,355,1069,1017,319,359,127,102,873,2203,2343,76,,79,1047,2595,2642,4894,1840,237,7302,8552,10441,1409,2739,2516,3794,2632,915,446,638,1576,1229,3314,2587,498,2782,967,2,1203,6471,2,11915,27,1603,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Atribacterota
Candidatius Mariprofundia,C,580370,9700,84,,41,,101,128,44,43,10,97,9,45,45,3,3,48,26,,9700,570,42,12,61,46,30,19,7,5,35,31,36,31,,632,125,213,83,129,34,3,145,100,175,23,78,71,255,78,173,47,90,142,67,163,66,24,105,88,,59,134,,55,,21,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Hydrogenophilia,C,2008785,86,20,2,17,,17,34,11,31,16,26,3,31,15,,3,86,39,,73,23,32,8,26,38,26,17,1,8,34,53,35,71,15,67,30,37,38,26,9,2,20,41,38,11,31,47,40,66,76,34,73,49,37,44,69,7,77,31,,17,74,,33,1,41,,,,,,2,,,1,,,,,1,2,cellular organisms>Bacteria>Pseudomonadati>Pseudomonadota
Syntrophobacteria,C,3024408,4897,3457,4,448,4,319,521,328,277,122,422,127,288,270,17,13,262,96,,4897,1115,93,25,152,110,57,56,7,11,94,123,116,127,3,3717,514,503,430,617,307,13,203,194,201,34,197,125,187,166,248,102,197,126,96,164,126,29,205,65,1,67,218,1,132,,67,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Candidatus Dadabacteria,C,1752716,3028,165,,40,,25,37,16,54,18,43,3,39,20,2,1,46,24,,3028,182,97,42,64,162,34,59,9,7,35,74,64,1,,1562,103,204,105,626,53,12,118,114,205,32,79,308,163,165,171,264,360,294,123,110,360,17,112,70,1,61,183,,72,1,19,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Desulfobulbia,C,3031451,2960,1351,2,760,5,995,1322,995,411,78,903,165,526,757,10,18,276,129,,2848,525,194,55,277,223,83,103,23,24,122,146,136,57,,2960,402,687,400,685,168,13,263,391,562,113,472,308,549,376,596,246,362,510,205,306,314,75,389,150,1,155,486,,253,1,76,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Desulfobacteria,C,3024418,119940,22176,25,42630,198,21728,40570,19378,17270,6345,77381,2469,11987,12857,792,379,4669,1677,,109866,41065,9374,1588,8812,7604,2839,2453,380,606,3389,4184,3923,136,3,119935,26969,30191,21593,39022,6464,943,40927,37015,22840,5950,44871,9304,15742,17784,12813,4213,6314,13530,8385,7956,6965,1416,8290,2740,13,3835,11362,5,4986,30,1064,,,1,1,,6,,,,,4,1,,,1,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Desulfarculia,C,3031646,1905,68,1,405,8,347,791,182,124,7,162,41,69,82,6,2,42,33,,849,599,369,14,55,47,53,30,4,9,35,62,32,15,,815,1777,1905,218,1513,59,3,189,128,620,83,104,238,142,111,114,33,123,521,193,152,138,27,75,23,,19,74,,99,,9,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Kiritimatiellia,C,1921781,1610,339,1,309,2,406,832,429,327,75,735,130,299,367,9,10,155,92,,731,465,606,130,279,314,278,435,58,122,247,480,240,48,3,1446,373,517,463,625,172,20,319,722,1090,247,516,1074,1448,1210,1008,434,615,1610,772,987,1135,268,959,303,1,247,728,,256,,102,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Kiritimatiellota
Desulfuromonadia,C,3031651,4921,962,4,639,11,1886,1862,1056,530,100,923,190,449,524,26,28,395,557,,2795,838,324,80,373,310,170,134,25,45,222,266,183,161,1,4921,543,946,570,771,176,29,755,798,667,150,600,401,797,483,1620,372,620,853,326,527,508,109,624,229,2,205,622,,413,3,101,,,,,,,,,,,1,1,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Desulfovibrionia,C,3031449,878,237,,270,5,200,330,203,219,55,305,50,233,179,134,16,297,155,,858,314,160,34,241,208,70,100,40,24,129,173,116,138,3,878,292,369,268,376,75,6,181,293,356,63,351,217,325,294,509,186,327,319,148,243,246,47,269,122,10,103,306,1,388,5,119,,,2,1,,,,,,,1,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Nitrospinia,C,1293498,1320,651,,252,4,273,500,210,165,52,501,62,204,185,32,6,81,18,,1320,187,166,38,84,140,237,309,15,23,74,381,142,12,,1209,156,230,143,433,66,10,86,168,302,54,149,396,662,448,359,274,416,901,366,438,350,88,273,145,1,150,375,,87,3,58,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Nitrospinota/Tectimicrobiota group>Nitrospinota
Thermodesulfovibrionia,C,2811502,1100,160,,169,2,82,268,123,150,30,169,21,161,120,12,6,150,62,,1100,190,59,23,132,98,37,25,6,7,69,76,43,9,,221,114,173,119,252,46,9,86,139,220,46,229,115,167,155,171,57,103,138,61,101,83,20,91,50,1,35,124,,118,,28,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Nitrospirota
Syntrophia,C,3031648,1091,155,,764,5,354,627,314,329,81,431,46,318,242,20,21,265,86,,820,768,209,42,356,173,95,95,16,16,153,159,113,21,,768,674,721,628,1091,201,16,385,612,791,139,771,324,370,342,355,188,288,335,175,242,360,42,284,82,,89,380,,307,1,70,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota
Candidatus Erginobacteria,C,3039682,1022,2,,12,,3,13,3,6,5,5,,7,2,,,2,3,,124,569,19,11,14,219,3,3,,,5,4,2,1,,33,131,643,1022,521,153,28,83,338,191,9,643,17,13,45,27,20,11,2,4,6,15,,20,4,,9,44,,1,1,1,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Candidatus Auribacterota
Calditrichia,C,1962850,830,72,,65,1,59,142,49,56,13,93,10,60,63,2,4,48,24,,830,109,58,11,53,83,130,143,4,10,30,186,73,7,,190,129,94,74,128,28,6,61,88,141,30,112,134,224,130,112,57,158,446,134,106,68,14,96,46,,29,96,,25,,20,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Calditrichota
Balneolia,C,1853221,597,217,,127,,123,213,110,74,29,232,24,151,112,6,5,133,54,,597,129,61,21,98,86,44,41,11,9,44,91,54,22,,412,132,170,90,198,38,,96,122,144,32,125,139,147,131,160,71,138,185,93,127,108,26,124,43,,59,163,,108,,38,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Balneolota
Holophagae,C,533205,450,107,,63,,55,123,68,61,20,95,16,83,67,8,13,132,96,,346,102,73,16,81,88,37,39,2,10,40,83,44,95,1,450,100,129,108,131,21,3,71,76,141,25,114,104,122,101,139,88,152,117,71,128,105,22,140,40,,49,144,,104,,55,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>Acidobacteriota
Rhodothermia,C,1853222,283,75,,83,,44,116,60,82,17,89,9,63,43,6,8,103,69,,283,105,62,19,80,97,29,42,7,10,39,71,46,53,1,194,95,126,103,135,24,2,60,89,116,28,111,114,155,114,122,110,212,119,64,84,79,21,117,42,1,61,144,,49,1,32,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Rhodothermota
Chlorobiia,C,191410,182,46,,70,,74,72,40,58,17,77,9,74,65,5,3,65,43,,182,96,54,9,65,66,16,23,5,4,45,45,39,12,,166,61,111,83,122,19,5,59,73,93,17,109,70,83,72,105,37,101,98,35,54,58,12,79,16,1,29,101,,76,,16,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Bacteroidota/Chlorobiota group>Chlorobiota
Fibrobacteria,C,204430,181,22,,59,,65,119,53,46,10,107,21,72,78,2,6,80,21,,105,88,41,12,65,72,23,34,6,6,29,77,53,30,,130,56,80,70,115,20,5,49,75,79,18,75,77,101,71,181,92,100,94,53,85,91,12,101,38,,54,150,,50,1,20,,,,,,,,,,,,,,,,cellular organisms>Bacteria>Pseudomonadati>FCB group>Fibrobacterota
Myxococcia,C,32015,93599,18857,36,29822,136,15474,33105,15033,8930,2266,18224,2118,6444,6786,273,284,4662,2190,1,93599,10948,3493,761,4050,4340,1680,2178,266,490,2548,5331,2454,2350,37,81004,9405,18044,13469,16568,2182,285,3572,5571,8354,1699,7541,5062,8191,6436,9153,4605,8434,8397,4177,6012,5137,980,6053,2004,12,2350,7411,1,2901,38,1758,1,,2,,,,,,,,2,1,1,,1,cellular organisms>Bacteria>Pseudomonadati>Myxococcota
Phycisphaerae,C,666505,157940,5517,8,47658,230,23727,57368,42644,64446,11455,72677,7272,45597,57618,2779,2261,118017,157942,,26007,43057,21450,4255,59869,20152,25633,18208,1411,2703,27297,19583,11381,1002,13,17368,52852,96445,51287,77926,10053,2167,18241,49067,51640,18508,93004,30959,39203,44145,51328,23690,34138,65040,24616,45345,37329,8871,41831,14989,51,12917,46275,1,8333,140,5897,,,3,,,9,,,,,3,,1,,,cellular organisms>Bacteria>Pseudomonadati>PVC group>Planctomycetota
Planctomycetia,C,203683,15130,3515,31,4657,41,3248,6983,3318,9947,1126,6563,1047,4554,3385,302,254,5869,3475,1,7931,9041,4033,874,3220,4206,2733,2764,361,761,2593,4401,3253,3886,39,13084,6055,11454,9188,15130,2557,320,3996,5699,7005,1475,3948,5411,7985,6655,9082,6832,9081,7666,3883,6358,10165,1303,8750,2338,26,2735,8628,,2461,67,2622,,,1,5,,,,1,,,15,,,1,1,cellular organisms>Bacteria>Pseudomonadati>PVC group>Planctomycetota
