"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7","len_ratio","keep"
"1","GCF_000219625.1","PRJNA19047",NA,"Zymoseptoria tritici IPO323","336722","Zymoseptoria tritici IPO323","REFSEQ","DOE Joint Genome Institute",NA,"missing",NA,NA,"Chromosome",6,2665280,NA,39678910,52,8.9,24,24,NA,21,6,2674951,21,39686251,39678910,NA,NA,FALSE,"Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria tritici",0.999815024099908,FALSE
"2","GCF_000002325.3","PRJNA13660",NA,"Nasonia vitripennis","7425","Nasonia vitripennis","REFSEQ","Baylor College of Medicine, Human Genome Sequencing Center",NA,NA,NA,NA,"Chromosome",3400,18840,71,NA,NA,6,26593,25484,NA,6169,71,708988,5,295780872,238616307,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Nasonia","Nasonia vitripennis",0.806733394849144,FALSE
"3","GCF_002162155.2","PRJNA310175",NA,"Triticum dicoccoides","85692","Triticum dicoccoides","REFSEQ","The Institute for Cereal Crops Improvement, Tel Aviv University",NA,"Israel: Aaron Aaronsohn experimental farm Atlit",NA,"Zavitan","Chromosome",53280,57368,NA,10323492877,46,176,148296,492885,NA,148296,7,747227478,14,10677097747,10323492877,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum dicoccoides",0.966881930054508,FALSE
"4","GCF_000090745.2","PRJNA18787",NA,"Anolis carolinensis","28377","Anolis carolinensis","REFSEQ","Broad Institute of MIT and Harvard",NA,"USA",NA,NA,"Chromosome",6217,79867,189,1701336547,40.5,7.1,41986,41986,NA,6645,119,4033265,13,1799126364,1701336547,NA,NA,FALSE,"Eukaryota","Chordata","Lepidosauria","Squamata","Dactyloidae","Anolis","Anolis carolinensis",0.945645942966127,FALSE
"5","GCA_000002945.3","PRJNA13836",NA,"Schizosaccharomyces pombe","4896","Schizosaccharomyces pombe","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",2,2923134,NA,12571418,36,8,3,7,NA,3,2,4539804,3,12571820,12571420,NA,NA,FALSE,"Eukaryota","Ascomycota","Schizosaccharomycetes","Schizosaccharomycetales","Schizosaccharomycetaceae","Schizosaccharomyces","Schizosaccharomyces pombe",0.999968182808853,FALSE
"6","GCA_024972935.1","PRJNA699892",NA,"Saccharomyces cerevisiae","4932","Saccharomyces cerevisiae","GENBANK","Kayta Spa","not applicable","not applicable",NA,NA,"Complete Genome",6,924372,NA,12070222,38.5,0.974,16,16,NA,16,6,924372,16,12070222,12070222,NA,NA,FALSE,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae",1,FALSE
"7","GCA_024972955.1","PRJNA699892",NA,"Saccharomyces cerevisiae","4932","Saccharomyces cerevisiae","GENBANK","Kayta Spa","Vitis vinifera","not collected",NA,NA,"Complete Genome",6,924374,NA,12070319,38.5,0.976,16,16,NA,16,6,924374,16,12070319,12070319,NA,NA,FALSE,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae",1,FALSE
"8","GCA_040746905.1","PRJNA607328",NA,"Saccharomyces cerevisiae","4932","Saccharomyces cerevisiae","GENBANK","Lawrence Berkeley National Lab","missing","missing",NA,NA,"Chromosome",7,721714,NA,12293729,38.5,1.88,16,22,NA,16,6,915574,16,12294329,12293729,NA,NA,FALSE,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae",0.99995119701124,FALSE
"9","GCA_000260735.2","PRJDA45827",NA,"Saccharomyces cerevisiae Kyokai no. 7","721032","Saccharomyces cerevisiae Kyokai no. 7","GENBANK","DDBJ",NA,NA,NA,NA,"Chromosome",33,120978,NA,12370866,38.5,9.1,705,705,NA,522,6,902266,16,12389166,12370866,NA,NA,FALSE,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae",0.998522902994439,FALSE
"10","GCA_000219625.1","PRJNA19047",NA,"Zymoseptoria tritici IPO323","336722","Zymoseptoria tritici IPO323","GENBANK","DOE Joint Genome Institute",NA,"missing",NA,NA,"Chromosome",6,2665280,NA,39678910,52,8.9,24,24,NA,21,6,2674951,21,39686251,39678910,NA,NA,FALSE,"Eukaryota","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria","Zymoseptoria tritici",0.999815024099908,FALSE
