"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"1","GCA_045788345.1","PRJNA1153307",NA,"Actitis hypoleucos","320702","Actitis hypoleucos","GENBANK","B10K Consortium",NA,"Kyrgyzstan: Batken - Abshir-Say",NA,NA,"Scaffold",1381,214846,NA,1181664134,42.5,189,51019,61792,NA,51019,21,20815268,NA,1215352660,1181670389,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos"
"2","GCA_045788345.1","PRJNA1153307",NA,"Actitis hypoleucos","320702","Actitis hypoleucos","GENBANK","B10K Consortium",NA,"Kyrgyzstan: Batken - Abshir-Say",NA,NA,"Scaffold",1381,214846,NA,1181664134,42.5,189,51019,61792,NA,51019,21,20815268,NA,1215352660,1181670389,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos"
"3","GCA_045783455.1","PRJNA1153307",NA,"Actitis macularius","190659","Actitis macularius","GENBANK","B10K Consortium",NA,"Guyana: Upper Essequibo - Upper Rewa River",NA,NA,"Scaffold",6788,42454,NA,1188707552,42.5,124,200440,221514,NA,200440,777,351782,NA,1266791941,1188731226,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"4","GCA_045783455.1","PRJNA1153307",NA,"Actitis macularius","190659","Actitis macularius","GENBANK","B10K Consortium",NA,"Guyana: Upper Essequibo - Upper Rewa River",NA,NA,"Scaffold",6788,42454,NA,1188707552,42.5,124,200440,221514,NA,200440,777,351782,NA,1266791941,1188731226,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"5","GCA_943590845.1","PRJEB53168",NA,"Akarotaxis nudiceps","227741","Akarotaxis nudiceps","GENBANK","EBI",NA,NA,NA,NA,"Scaffold",16821,11955,NA,761179589,41,26,83165,136384,NA,83165,1851,67980,NA,844240027,761179589,NA,NA,TRUE,"Eukaryota","Chordata","Actinopteri","Perciformes","Bathydraconidae","Akarotaxis","Akarotaxis nudiceps"
"6","GCA_943590845.1","PRJEB53168",NA,"Akarotaxis nudiceps","227741","Akarotaxis nudiceps","GENBANK","EBI",NA,NA,NA,NA,"Scaffold",16821,11955,NA,761179589,41,26,83165,136384,NA,83165,1851,67980,NA,844240027,761179589,NA,NA,TRUE,"Eukaryota","Chordata","Actinopteri","Perciformes","Bathydraconidae","Akarotaxis","Akarotaxis nudiceps"
"7","GCA_038406075.1","PRJNA919716",NA,"Anas aucklandica","75833","Anas aucklandica","GENBANK","Iridian Genomes",NA,"missing",NA,NA,"Scaffold",81225,4087,NA,1115998345,41.5,60,249629,657339,NA,249629,8,45397007,NA,1220384280,1116086534,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas aucklandica"
"8","GCA_038406075.1","PRJNA919716",NA,"Anas aucklandica","75833","Anas aucklandica","GENBANK","Iridian Genomes",NA,"missing",NA,NA,"Scaffold",81225,4087,NA,1115998345,41.5,60,249629,657339,NA,249629,8,45397007,NA,1220384280,1116086534,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas aucklandica"
"9","GCA_038406055.1","PRJNA919725",NA,"Anas flavirostris","75845","Anas flavirostris","GENBANK","Iridian Genomes",NA,"missing",NA,NA,"Scaffold",9263,30953,NA,1140198421,41.5,60,194180,286747,NA,194180,5,75318589,NA,1166830609,1140204608,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas flavirostris"
"10","GCA_038406055.1","PRJNA919725",NA,"Anas flavirostris","75845","Anas flavirostris","GENBANK","Iridian Genomes",NA,"missing",NA,NA,"Scaffold",9263,30953,NA,1140198421,41.5,60,194180,286747,NA,194180,5,75318589,NA,1166830609,1140204608,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas flavirostris"
"11","GCA_032275265.1","PRJNA977038",NA,"Anas georgica","75847","Anas georgica","GENBANK","Iridian Genomes",NA,NA,NA,NA,"Scaffold",10214,29010,NA,1066159867,41.5,2023,9301,76079,NA,9301,4,80592087,NA,1098703473,1066167633,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas georgica"
"12","GCA_032275265.1","PRJNA977038",NA,"Anas georgica","75847","Anas georgica","GENBANK","Iridian Genomes",NA,NA,NA,NA,"Scaffold",10214,29010,NA,1066159867,41.5,2023,9301,76079,NA,9301,4,80592087,NA,1098703473,1066167633,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas georgica"
"13","GCF_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","REFSEQ","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"14","GCF_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","REFSEQ","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"15","GCF_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","REFSEQ","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"16","GCF_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","REFSEQ","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"17","GCA_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","GENBANK","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"18","GCA_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","GENBANK","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"19","GCA_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","GENBANK","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"20","GCA_000699145.1","PRJNA235982",NA,"Aptenodytes forsteri","9233","Aptenodytes forsteri","GENBANK","Beijing Genome Institute",NA,"Antarctica",NA,NA,"Scaffold",11116,31730,NA,1182540656,41.5,60,83173,83173,NA,10672,71,5071598,NA,1254347440,1182540656,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"21","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
"22","GCF_965638725.1","PRJEB86486",NA,"Aptenodytes patagonicus","9234","Aptenodytes patagonicus","REFSEQ","EBI",NA,"French Southern and Antarctic Lands",NA,NA,"Chromosome",38,10636000,NA,1352542774,43.5,45,618,931,NA,618,5,86569806,34,1352580174,1352542774,NA,NA,TRUE,"Eukaryota","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes patagonicus"
